ExpectedPnL,AchievedPnL,TotalTrades,TPSL_Level,FinalOutcome,FinalQuality,new_or_old,num_bars,timeframe,model_type
101388,44591.900000000016,1787,20,VeryGood,0.4398143760210141,NEW,100,15,R
101388,44591.900000000016,1787,20,VeryGood,0.4398143760210141,PREV,100,15,R
