ExpectedPnL,AchievedPnL,TotalTrades,TPSL_Level,FinalOutcome,FinalQuality,new_or_old,num_bars,timeframe,model_type
18083,7316.999999999966,740,10,VeryGood,0.4046341845676352,NEW,125,1,R
18083,7316.999999999966,740,10,VeryGood,0.4046341845676352,PREV,125,1,R
