ExpectedPnL,AchievedPnL,TotalTrades,TPSL_Level,FinalOutcome,FinalQuality,new_or_old,num_bars,timeframe,model_type
43208,16260.099999999999,303,80,VeryGood,0.37632151366339217,NEW,125,60,R
43208,16260.099999999999,303,80,VeryGood,0.37632151366339217,PREV,125,60,R
