ExpectedPnL,AchievedPnL,FinalOutcome,FinalQuality,new_or_old,num_bars,timeframe,model_type
12136,6132.900000000018,VeryGood,0.505347721610518,NEW,75,1,R
10369,7268.499999999981,VeryGood,0.7009836946573066,PREV,75,1,R
